ANO;ESTADO;CÓDIGO IBGE;Município;Vendas
2006;Rondônia;1100015;ALTA FLORESTA D'OESTE;2042570
2006;Rondônia;1100023;ARIQUEMES;12569652
2006;Rondônia;1100031;CABIXI;448000
2006;Rondônia;1100049;CACOAL;9823913
2006;Rondônia;1100288;ROLIM DE MOURA;5858551
2006;Rondônia;1100056;CEREJEIRAS;2026000
2006;Rondônia;1100064;COLORADO DO OESTE;1950375
2006;Rondônia;1100080;COSTA MARQUES;686000
2006;Rondônia;1100098;ESPIGAO D'OESTE;2662437
2006;Rondônia;1100106;GUAJARA-MIRIM;2678918
2006;Rondônia;1100114;JARU;5920450
2006;Rondônia;1100122;JI-PARANA;16417664
2006;Rondônia;1100130;MACHADINHO D'OESTE;2745000
2006;Rondônia;1100148;NOVA BRASILANDIA D'OES;1135000
2006;Rondônia;1100155;OURO PRETO DO OESTE;5873511
2006;Rondônia;1100189;PIMENTA BUENO;5101585
2006;Rondônia;1100205;PORTO VELHO;70346861
2006;Rondônia;1100262;RIO CRESPO;48000
2006;Rondônia;1100296;SANTA LUZIA D'OESTE;287000
2006;Rondônia;1100304;VILHENA;12331924
2006;Rondônia;1100320;SAO MIGUEL DO GUAPORE;1011000
2006;Rondônia;1100346;ALVORADA D'OESTE;930000
2006;Rondônia;1100338;NOVA MAMORE;1920050
2006;Rondônia;1100379;ALTO ALEGRE DO PARECIS;683000
2006;Rondônia;1100403;ALTO PARAISO;1039000
2006;Rondônia;1100072;CORUMBIARA;275000
2006;Rondônia;1100254;PRESIDENTE MEDICI;1565450
2006;Rondônia;1100452;BURITIS;2287500
2006;Rondônia;1100502;NOVO HORIZONTE DO OESTE;935000
2006;Rondônia;1100601;CACAULANDIA;342450
2006;Rondônia;1100700;CAMPO NOVO DE RONDONIA;75000
2006;Rondônia;1100809;CANDEIAS DO JAMARI;1074000
2006;Rondônia;1100908;CASTANHEIRAS;200000
2006;Rondônia;1100924;CHUPINGUAIA;233100
2006;Rondônia;1100940;CUJUBIM;432550
2006;Rondônia;1101005;GOVERNADOR JORGE TEIXE;173000
2006;Rondônia;1101104;ITAPUA DO OESTE;443000
2006;Rondônia;1101203;MINISTRO ANDREAZZA;640000
2006;Rondônia;1101302;MIRANTE DA SERRA;720000
2006;Rondônia;1101401;MONTE NEGRO;900200
2006;Rondônia;1101435;NOVA UNIAO;400000
2006;Rondônia;1101468;PIMENTEIRAS DO OESTE;25000
2006;Rondônia;1101484;SAO FELIPE D'OESTE;350000
2006;Rondônia;1101492;SAO FRANCISCO DO GUAPO;658000
2006;Rondônia;1101500;SERINGUEIRAS;639000
2006;Rondônia;1101559;TEIXEIROPOLIS;333000
2006;Rondônia;1101609;THEOBROMA;365000
2006;Rondônia;1101708;URUPA;480000
2006;Rondônia;1101757;VALE DO ANARI;464000
2006;Rondônia;1101807;VALE DO PARAISO;235000
2006;Acre ;1200013;ACRELANDIA;1026000
2006;Acre ;1200054;ASSIS BRASIL;103000
2006;Acre ;1200104;BRASILEIA;210000
2006;Acre ;1200138;BUJARI;143000
2006;Acre ;1200179;CAPIXABA;180000
2006;Acre ;1200203;CRUZEIRO DO SUL;6101380
2006;Acre ;1200252;EPITACIOLANDIA;735000
2006;Acre ;1200302;FEIJO;415000
2006;Acre ;1200336;MANCIO LIMA;365000
2006;Acre ;1200344;MANOEL URBANO;60000
2006;Acre ;1200351;MARECHAL THAUMATURGO;225000
2006;Acre ;1200385;PLACIDO DE CASTRO;354000
2006;Acre ;1200807;PORTO ACRE;965000
2006;Acre ;1200401;RIO BRANCO;39180248
2006;Acre ;1200427;RODRIGUES ALVES;235000
2006;Acre ;1200450;SENADOR GUIOMARD;1326791
2006;Acre ;1200500;SENA MADUREIRA;1435050
2006;Acre ;1200609;TARAUACA;740000
2006;Acre ;1200708;XAPURI;326000
2006;Amazonas;1300029;ALVARAES;265730
2006;Amazonas;1300102;ANORI;17000
2006;Amazonas;1300144;APUI;735300
2006;Amazonas;1300300;AUTAZES;1223830
2006;Amazonas;1300409;BARCELOS;652335
2006;Amazonas;1300508;BARREIRINHA;525000
2006;Amazonas;1300631;BERURI;291667
2006;Amazonas;1300706;BOCA DO ACRE;1165000
2006;Amazonas;1300805;BORBA;250000
2006;Amazonas;1301001;CARAUARI;290000
2006;Amazonas;1301100;CAREIRO;1423250
2006;Amazonas;1301159;CAREIRO DA VARZEA;122500
2006;Amazonas;1301209;COARI;2992278
2006;Amazonas;1301308;CODAJAS;534673
2006;Amazonas;1301407;EIRUNEPE;373000
2006;Amazonas;1301506;ENVIRA;185000
2006;Amazonas;1301605;FONTE BOA;150000
2006;Amazonas;1301654;GUAJARA;270000
2006;Amazonas;1301704;HUMAITA;1744600
2006;Amazonas;1301803;IPIXUNA;160000
2006;Amazonas;1301852;IRANDUBA;2238300
2006;Amazonas;1301902;ITACOATIARA;7353196
2006;Amazonas;1301951;ITAMARATI;36000
2006;Amazonas;1302009;ITAPIRANGA;100000
2006;Amazonas;1302306;JUTAI;115000
2006;Amazonas;1302405;LABREA;846000
2006;Amazonas;1302504;MANACAPURU;5438685
2006;Amazonas;1302553;MANAQUIRI;200000
2006;Amazonas;1302603;MANAUS;285375138
2006;Amazonas;1302702;MANICORE;780200
2006;Amazonas;1302900;MAUES;850000
2006;Amazonas;1303007;NHAMUNDA;520000
2006;Amazonas;1303106;NOVA OLINDA DO NORTE;265000
2006;Amazonas;1303205;NOVO AIRAO;520000
2006;Amazonas;1303403;PARINTINS;3852857
2006;Amazonas;1303536;PRESIDENTE FIGUEIREDO;2249300
2006;Amazonas;1303569;RIO PRETO DA EVA;1152907
2006;Amazonas;1303601;SANTA ISABEL DO RIO NE;256592
2006;Amazonas;1303700;SANTO ANTONIO DO ICA;172525
2006;Amazonas;1303809;SAO GABRIEL DA CACHOEI;2252102
2006;Amazonas;1304005;SILVES;370000
2006;Amazonas;1304104;TAPAUA;130000
2006;Amazonas;1304203;TEFE;3381563
2006;Amazonas;1304260;UARINI;55000
2006;Amazonas;1304401;URUCURITUBA;180000
2006;Roraima ;1400100;BOA VISTA;43039900
2006;Roraima ;1400506;SAO JOAO DA BALIZA;424000
2006;Roraima ;1400175;CANTA;80000
2006;Roraima ;1400209;CARACARAI;965000
2006;Roraima ;1400233;CAROEBE;145000
2006;Roraima ;1400282;IRACEMA;295000
2006;Roraima ;1400472;RORAINOPOLIS;770000
2006;Roraima ;1400308;MUCAJAI;1359050
2006;Roraima ;1400407;NORMANDIA;140000
2006;Roraima ;1400605;SAO LUIZ;1127000
2006;Pará ;1500107;ABAETETUBA;3616403
2006;Pará ;1500131;ABEL FIGUEIREDO;466000
2006;Pará ;1500206;ACARA;691000
2006;Pará ;1500347;AGUA AZUL DO NORTE;222695
2006;Pará ;1500404;ALENQUER;1593595
2006;Pará ;1500503;ALMEIRIM;2885682
2006;Pará ;1500602;ALTAMIRA;7744639
2006;Pará ;1500800;ANANINDEUA;37781045
2006;Pará ;1500859;ANAPU;125160
2006;Pará ;1500909;AUGUSTO CORREA;674000
2006;Pará ;1501204;BAIAO;451000
2006;Pará ;1501303;BARCARENA;5786370
2006;Pará ;1501402;BELEM;148602269
2006;Pará ;1501451;BELTERRA;221000
2006;Pará ;1501501;BENEVIDES;6947554
2006;Pará ;1501600;BONITO;156000
2006;Pará ;1501576;BOM JESUS DO TOCANTINS;395000
2006;Pará ;1501709;BRAGANCA;4404404
2006;Pará ;1501725;BRASIL NOVO;780000
2006;Pará ;1501782;BREU BRANCO;738000
2006;Pará ;1501808;BREVES;1166428
2006;Pará ;1501758;BREJO GRANDE DO ARAGUA;315000
2006;Pará ;1501907;BUJARU;170000
2006;Pará ;1502103;CAMETA;823000
2006;Pará ;1502152;CANAA DOS CARAJAS;1545000
2006;Pará ;1502202;CAPANEMA;6092000
2006;Pará ;1502301;CAPITAO POCO;2043541
2006;Pará ;1502400;CASTANHAL;16530085
2006;Pará ;1502707;CONCEICAO DO ARAGUAIA;2234190
2006;Pará ;1502756;CONCORDIA DO PARA;996842
2006;Pará ;1502764;CUMARU DO NORTE;296600
2006;Pará ;1502806;CURRALINHO;30200
2006;Pará ;1502855;CURUA;145000
2006;Pará ;1502772;CURIONOPOLIS;551273
2006;Pará ;1502905;CURUCA;1048592
2006;Pará ;1502939;DOM ELISEU;2810738
2006;Pará ;1502954;ELDORADO DOS CARAJAS;1259000
2006;Pará ;1503077;GARRAFAO DO NORTE;1012000
2006;Pará ;1503044;FLORESTA DO ARAGUAIA;520000
2006;Pará ;1503093;GOIANESIA DO PARA;2329000
2006;Pará ;1503200;IGARAPE-ACU;1026000
2006;Pará ;1503309;IGARAPE-MIRI;1184000
2006;Pará ;1503457;IPIXUNA DO PARA;125000
2006;Pará ;1503507;IRITUIA;1186500
2006;Pará ;1503606;ITAITUBA;5816231
2006;Pará ;1503705;ITUPIRANGA;1224960
2006;Pará ;1503804;JACUNDA;3873157
2006;Pará ;1503903;JURUTI;182000
2006;Pará ;1504059;MAE DO RIO;2171000
2006;Pará ;1504208;MARABA;24990758
2006;Pará ;1504307;MARACANA;222000
2006;Pará ;1504406;MARAPANIM;20000
2006;Pará ;1504422;MARITUBA;6486260
2006;Pará ;1504455;MEDICILANDIA;793000
2006;Pará ;1504604;MOCAJUBA;494880
2006;Pará ;1504703;MOJU;429751
2006;Pará ;1504802;MONTE ALEGRE;3003912
2006;Pará ;1504950;NOVA ESPERANCA DO PIRI;161000
2006;Pará ;1504976;NOVA IPIXUNA;868350
2006;Pará ;1505007;NOVA TIMBOTEUA;619000
2006;Pará ;1505031;NOVO PROGRESSO;2901326
2006;Pará ;1505064;NOVO REPARTIMENTO;2454000
2006;Pará ;1505106;OBIDOS;555000
2006;Pará ;1505304;ORIXIMINA;2735000
2006;Pará ;1505403;OUREM;675000
2006;Pará ;1505437;OURILANDIA DO NORTE;1064094
2006;Pará ;1505486;PACAJA;1750570
2006;Pará ;1505494;PALESTINA DO PARA;73600
2006;Pará ;1505502;PARAGOMINAS;7745201
2006;Pará ;1505536;PARAUAPEBAS;7937930
2006;Pará ;1505551;PAU D'ARCO;40000
2006;Pará ;1505635;PICARRA;645200
2006;Pará ;1505650;PLACAS;230000
2006;Pará ;1505809;PORTEL;564628
2006;Pará ;1505908;PORTO DE MOZ;1528562
2006;Pará ;1506104;PRIMAVERA;265000
2006;Pará ;1506138;REDENCAO;8083473
2006;Pará ;1506161;RIO MARIA;1111000
2006;Pará ;1506187;RONDON DO PARA;3051000
2006;Pará ;1506195;RUROPOLIS;665000
2006;Pará ;1506203;SALINOPOLIS;2785000
2006;Pará ;1506302;SALVATERRA;325000
2006;Pará ;1506500;SANTA ISABEL DO PARA;6433591
2006;Pará ;1506583;SANTA MARIA DAS BARREI;441000
2006;Pará ;1506609;SANTA MARIA DO PARA;1478382
2006;Pará ;1506708;SANTANA DO ARAGUAIA;2133214
2006;Pará ;1506807;SANTAREM;19967986
2006;Pará ;1507003;SANTO ANTONIO DO TAUA;190000
2006;Pará ;1507151;SAO DOMINGOS DO ARAGUA;1642000
2006;Pará ;1507201;SAO DOMINGOS DO CAPIM;375000
2006;Pará ;1507300;SAO FELIX DO XINGU;1426000
2006;Pará ;1507409;SAO FRANCISCO DO PARA;1225000
2006;Pará ;1507458;SAO GERALDO DO ARAGUAI;1354000
2006;Pará ;1507508;SAO JOAO DO ARAGUAIA;465000
2006;Pará ;1507474;SAO JOAO DE PIRABAS;573000
2006;Pará ;1507607;SAO MIGUEL DO GUAMA;2737386
2006;Pará ;1507755;SAPUCAIA;440000
2006;Pará ;1507805;SENADOR JOSE PORFIRIO;342200
2006;Pará ;1507904;SOURE;423820
2006;Pará ;1507961;TERRA ALTA;368950
2006;Pará ;1507953;TAILANDIA;4324600
2006;Pará ;1507979;TERRA SANTA;358000
2006;Pará ;1508001;TOME-ACU;2470801
2006;Pará ;1508050;TRAIRAO;274218
2006;Pará ;1508100;TUCURUI;7266000
2006;Pará ;1508084;TUCUMA;2969016
2006;Pará ;1508126;ULIANOPOLIS;1501372
2006;Pará ;1508159;URUARA;1605000
2006;Pará ;1508209;VIGIA;1127560
2006;Pará ;1508308;VISEU;258600
2006;Pará ;1508407;XINGUARA;2898133
2006;Pará ;1508357;VITORIA DO XINGU;605900
2006;Amapá ;1600055;SERRA DO NAVIO;230100
2006;Amapá ;1600105;AMAPA;468000
2006;Amapá ;1600154;PEDRA BRANCA DO AMAPAR;185000
2006;Amapá ;1600204;CALCOENE;45000
2006;Amapá ;1600238;FERREIRA GOMES;254450
2006;Amapá ;1600279;LARANJAL DO JARI;1706000
2006;Amapá ;1600303;MACAPA;50427600
2006;Amapá ;1600402;MAZAGAO;70000
2006;Amapá ;1600501;OIAPOQUE;3858807
2006;Amapá ;1600535;PORTO GRANDE;636300
2006;Amapá ;1600600;SANTANA;6313500
2006;Amapá ;1600709;TARTARUGALZINHO;450000
2006;Tocantins ;1700350;ALIANCA DO TOCANTINS;427000
2006;Tocantins ;1700400;ALMAS;320450
2006;Tocantins ;1700707;ALVORADA;1218000
2006;Tocantins ;1701002;ANANAS;49000
2006;Tocantins ;1701101;APARECIDA DO RIO NEGRO;282000
2006;Tocantins ;1701903;ARAGUACEMA;385000
2006;Tocantins ;1700251;ABREULANDIA;170000
2006;Tocantins ;1702000;ARAGUACU;941300
2006;Tocantins ;1700301;AGUIARNOPOLIS;897162
2006;Tocantins ;1702109;ARAGUAINA;18424331
2006;Tocantins ;1702208;ARAGUATINS;1728000
2006;Tocantins ;1702307;ARAPOEMA;560000
2006;Tocantins ;1702406;ARRAIAS;767000
2006;Tocantins ;1702554;AUGUSTINOPOLIS;1360000
2006;Tocantins ;1702703;AURORA DO TOCANTINS;240000
2006;Tocantins ;1702901;AXIXA DO TOCANTINS;377000
2006;Tocantins ;1703008;BABACULANDIA;429000
2006;Tocantins ;1703107;BARROLANDIA;604000
2006;Tocantins ;1703206;BERNARDO SAYAO;280000
2006;Tocantins ;1703701;BREJINHO DE NAZARE;236300
2006;Tocantins ;1703800;BURITI DO TOCANTINS;499000
2006;Tocantins ;1703909;CASEARA;283000
2006;Tocantins ;1705508;COLINAS DO TOCANTINS;2583185
2006;Tocantins ;1716703;COLMEIA;810000
2006;Tocantins ;1705557;COMBINADO;485700
2006;Tocantins ;1705607;CONCEICAO DO TOCANTINS;435000
2006;Tocantins ;1706001;COUTO DE MAGALHAES;1580000
2006;Tocantins ;1706100;CRISTALANDIA;635000
2006;Tocantins ;1707009;DIANOPOLIS;1538300
2006;Tocantins ;1701051;ANGICO;180000
2006;Tocantins ;1707108;DIVINOPOLIS DO TOCANTI;762000
2006;Tocantins ;1707207;DOIS IRMAOS DO TOCANTI;380000
2006;Tocantins ;1707306;DUERE;380000
2006;Tocantins ;1707553;FATIMA;695000
2006;Tocantins ;1707652;FIGUEIROPOLIS;207850
2006;Tocantins ;1707702;FILADELFIA;531350
2006;Tocantins ;1708205;FORMOSO DO ARAGUAIA;1250100
2006;Tocantins ;1708304;GOIANORTE;250000
2006;Tocantins ;1709005;GOIATINS;244000
2006;Tocantins ;1709302;GUARAI;3174050
2006;Tocantins ;1709500;GURUPI;12155855
2006;Tocantins ;1710508;ITACAJA;290000
2006;Tocantins ;1710706;ITAGUATINS;155000
2006;Tocantins ;1711100;ITAPORA DO TOCANTINS;100000
2006;Tocantins ;1712405;LIZARDA;64000
2006;Tocantins ;1712504;MARIANOPOLIS DO TOCANT;280000
2006;Tocantins ;1713205;MIRACEMA DO TOCANTINS;1772000
2006;Tocantins ;1713304;MIRANORTE;1080000
2006;Tocantins ;1713601;MONTE DO CARMO;185000
2006;Tocantins ;1714203;NATIVIDADE;1442000
2006;Tocantins ;1714302;NAZARE;215000
2006;Tocantins ;1714880;NOVA OLINDA;1053321
2006;Tocantins ;1715002;NOVA ROSALANDIA;285000
2006;Tocantins ;1715101;NOVO ACORDO;205000
2006;Tocantins ;1715754;PALMEIROPOLIS;838300
2006;Tocantins ;1716109;PARAISO DO TOCANTINS;7166000
2006;Tocantins ;1702158;ARAGUANA;230000
2006;Tocantins ;1716208;PARANA;357000
2006;Tocantins ;1716505;PEDRO AFONSO;1210000
2006;Tocantins ;1716604;PEIXE;1110000
2006;Tocantins ;1716653;PEQUIZEIRO;182000
2006;Tocantins ;1717503;PIUM;300000
2006;Tocantins ;1717008;PINDORAMA DO TOCANTINS;88000
2006;Tocantins ;1717800;PONTE ALTA DO BOM JESU;210000
2006;Tocantins ;1717909;PONTE ALTA DO TOCANTIN;335900
2006;Tocantins ;1718006;PORTO ALEGRE DO TOCANT;222000
2006;Tocantins ;1718204;PORTO NACIONAL;6194300
2006;Tocantins ;1718402;PRESIDENTE KENNEDY;268000
2006;Tocantins ;1718758;RIO SONO;180000
2006;Tocantins ;1718808;SAMPAIO;5000
2006;Tocantins ;1718907;SANTA ROSA DO TOCANTIN;290000
2006;Tocantins ;1719004;SANTA TEREZA DO TOCANT;78000
2006;Tocantins ;1720499;SAO VALERIO DA NATIVID;450000
2006;Tocantins ;1720655;SILVANOPOLIS;437200
2006;Tocantins ;1720804;SITIO NOVO DO TOCANTIN;713000
2006;Tocantins ;1720903;TAGUATINGA;1125000
2006;Tocantins ;1721000;PALMAS;32838400
2006;Tocantins ;1721109;TOCANTINIA;825000
2006;Tocantins ;1721208;TOCANTINOPOLIS;1237000
2006;Tocantins ;1703073;BARRA DO OURO;95000
2006;Tocantins ;1722081;WANDERLANDIA;573027
2006;Tocantins ;1703826;CACHOEIRINHA;325000
2006;Tocantins ;1703867;CARIRI DO TOCANTINS;1584000
2006;Tocantins ;1706258;CRIXAS DO TOCANTINS;208350
2006;Tocantins ;1706506;DARCINOPOLIS;400000
2006;Tocantins ;1707405;ESPERANTINA;239000
2006;Tocantins ;1708254;FORTALEZA DO TABOCAO;1272000
2006;Tocantins ;1710904;ITAPIRATINS;114000
2006;Tocantins ;1711506;JAU DO TOCANTINS;283100
2006;Tocantins ;1711902;LAGOA DA CONFUSAO;575000
2006;Tocantins ;1711951;LAGOA DO TOCANTINS;75000
2006;Tocantins ;1712009;LAJEADO;305000
2006;Tocantins ;1712454;LUZINOPOLIS;392000
2006;Tocantins ;1715259;NOVO JARDIM;104000
2006;Tocantins ;1712702;MATEIROS;43350
2006;Tocantins ;1715150;NOVO ALEGRE;243490
2006;Tocantins ;1715705;PALMEIRANTE;15000
2006;Tocantins ;1716307;PAU D'ARCO;300000
2006;Tocantins ;1718709;RIO DOS BOIS;230000
2006;Tocantins ;1718451;PUGMIL;424000
2006;Tocantins ;1718840;SANDOLANDIA;230000
2006;Tocantins ;1718865;SANTA FE DO ARAGUAIA;463000
2006;Tocantins ;1718881;SANTA MARIA DO TOCANTI;155000
2006;Tocantins ;1718899;SANTA RITA DO TOCANTIN;765000
2006;Tocantins ;1720002;SANTA TEREZINHA DO TOC;35000
2006;Tocantins ;1720200;SAO MIGUEL DO TOCANTIN;210000
2006;Tocantins ;1720259;SAO SALVADOR DO TOCANT;417000
2006;Tocantins ;1720978;TALISMA;319000
2006;Tocantins ;1721257;TUPIRAMA;5000
2006;Tocantins ;1721307;TUPIRATINS;89000
2006;Maranhão ;2100055;ACAILANDIA;8385879
2006;Maranhão ;2100154;AGUA DOCE DO MARANHAO;139000
2006;Maranhão ;2100204;ALCANTARA;250000
2006;Maranhão ;2100436;ALTO ALEGRE DO MARANHA;798300
2006;Maranhão ;2100477;ALTO ALEGRE DO PINDARE;60000
2006;Maranhão ;2100501;ALTO PARNAIBA;225000
2006;Maranhão ;2100550;AMAPA DO MARANHAO;357000
2006;Maranhão ;2100600;AMARANTE DO MARANHAO;710000
2006;Maranhão ;2100709;ANAJATUBA;105000
2006;Maranhão ;2100808;ANAPURUS;295000
2006;Maranhão ;2100832;APICUM-ACU;10000
2006;Maranhão ;2100873;ARAGUANA;165000
2006;Maranhão ;2100907;ARAIOSES;681000
2006;Maranhão ;2100956;ARAME;548000
2006;Maranhão ;2101004;ARARI;580000
2006;Maranhão ;2101202;BACABAL;5516248
2006;Maranhão ;2101251;BACABEIRA;960000
2006;Maranhão ;2101301;BACURI;60000
2006;Maranhão ;2101400;BALSAS;6588016
2006;Maranhão ;2101509;BARAO DE GRAJAU;455000
2006;Maranhão ;2101608;BARRA DO CORDA;3459000
2006;Maranhão ;2101707;BARREIRINHAS;1364006
2006;Maranhão ;2101772;BELA VISTA DO MARANHAO;1692000
2006;Maranhão ;2101905;BEQUIMAO;480000
2006;Maranhão ;2101939;BERNARDO DO MEARIM;20000
2006;Maranhão ;2101970;BOA VISTA DO GURUPI;150000
2006;Maranhão ;2102002;BOM JARDIM;713000
2006;Maranhão ;2102036;BOM JESUS DAS SELVAS;762000
2006;Maranhão ;2102101;BREJO;1746000
2006;Maranhão ;2102200;BURITI;695000
2006;Maranhão ;2102309;BURITI BRAVO;334762
2006;Maranhão ;2102325;BURITICUPU;2831000
2006;Maranhão ;2102358;BURITIRANA;40000
2006;Maranhão ;2102408;CAJAPIO;495000
2006;Maranhão ;2102556;CAMPESTRE DO MARANHAO;540000
2006;Maranhão ;2102606;CANDIDO MENDES;285000
2006;Maranhão ;2102754;CAPINZAL DO NORTE;50000
2006;Maranhão ;2102804;CAROLINA;966800
2006;Maranhão ;2102903;CARUTAPERA;731390
2006;Maranhão ;2103000;CAXIAS;6419386
2006;Maranhão ;2103158;CENTRO DO GUILHERME;45000
2006;Maranhão ;2103174;CENTRO NOVO DO MARANHA;55000
2006;Maranhão ;2103208;CHAPADINHA;2735000
2006;Maranhão ;2103257;CIDELANDIA;747000
2006;Maranhão ;2103307;CODO;4121831
2006;Maranhão ;2103406;COELHO NETO;1395000
2006;Maranhão ;2103505;COLINAS;1286000
2006;Maranhão ;2103604;COROATA;2205000
2006;Maranhão ;2103703;CURURUPU;496000
2006;Maranhão ;2103752;DAVINOPOLIS;125000
2006;Maranhão ;2103802;DOM PEDRO;1509000
2006;Maranhão ;2103901;DUQUE BACELAR;120000
2006;Maranhão ;2104008;ESPERANTINOPOLIS;706000
2006;Maranhão ;2104057;ESTREITO;1980899
2006;Maranhão ;2104073;FEIRA NOVA DO MARANHAO;20000
2006;Maranhão ;2104081;FERNANDO FALCAO;51000
2006;Maranhão ;2104099;FORMOSA DA SERRA NEGRA;356000
2006;Maranhão ;2104107;FORTALEZA DOS NOGUEIRA;493900
2006;Maranhão ;2104206;FORTUNA;318165
2006;Maranhão ;2104404;GONCALVES DIAS;15150
2006;Maranhão ;2104552;GOVERNADOR EDISON LOBA;55000
2006;Maranhão ;2104602;GOVERNADOR EUGENIO BAR;245000
2006;Maranhão ;2104677;GOVERNADOR NUNES FREIR;1203000
2006;Maranhão ;2104701;GRACA ARANHA;170000
2006;Maranhão ;2104800;GRAJAU;2274000
2006;Maranhão ;2104909;GUIMARAES;108000
2006;Maranhão ;2105005;HUMBERTO DE CAMPOS;175000
2006;Maranhão ;2105104;ICATU;5000
2006;Maranhão ;2105203;IGARAPE GRANDE;450000
2006;Maranhão ;2105302;IMPERATRIZ;23298119
2006;Maranhão ;2105351;ITAIPAVA DO GRAJAU;80000
2006;Maranhão ;2105401;ITAPECURU MIRIM;4016850
2006;Maranhão ;2105427;ITINGA DO MARANHAO;1788273
2006;Maranhão ;2105450;JATOBA;5000
2006;Maranhão ;2105476;JENIPAPO DOS VIEIRAS;850000
2006;Maranhão ;2105500;JOAO LISBOA;585000
2006;Maranhão ;2105609;JOSELANDIA;325000
2006;Maranhão ;2105708;LAGO DA PEDRA;1514000
2006;Maranhão ;2105807;LAGO DO JUNCO;145000
2006;Maranhão ;2105906;LAGO VERDE;320000
2006;Maranhão ;2105922;LAGOA DO MATO;65000
2006;Maranhão ;2105948;LAGO DOS RODRIGUES;136000
2006;Maranhão ;2105963;LAGOA GRANDE DO MARANH;35000
2006;Maranhão ;2105989;LAJEADO NOVO;170000
2006;Maranhão ;2106003;LIMA CAMPOS;330000
2006;Maranhão ;2106102;LORETO;413000
2006;Maranhão ;2106326;MARACACUME;1039000
2006;Maranhão ;2106375;MARANHAOZINHO;185000
2006;Maranhão ;2106409;MATA ROMA;475000
2006;Maranhão ;2106508;MATINHA;620000
2006;Maranhão ;2106607;MATOES;112000
2006;Maranhão ;2106631;MATOES DO NORTE;195000
2006;Maranhão ;2106672;MILAGRES DO MARANHAO;120000
2006;Maranhão ;2106706;MIRADOR;650000
2006;Maranhão ;2106755;MIRANDA DO NORTE;1174350
2006;Maranhão ;2106805;MIRINZAL;1381000
2006;Maranhão ;2106904;MONCAO;135000
2006;Maranhão ;2107001;MONTES ALTOS;255000
2006;Maranhão ;2107100;MORROS;1095000
2006;Maranhão ;2107209;NINA RODRIGUES;90000
2006;Maranhão ;2107258;NOVA COLINAS;60000
2006;Maranhão ;2107357;NOVA OLINDA DO MARANHA;340000
2006;Maranhão ;2107407;OLHO D'AGUA DAS CUNHAS;945000
2006;Maranhão ;2107456;OLINDA NOVA DO MARANHA;100000
2006;Maranhão ;2107506;PACO DO LUMIAR;2779780
2006;Maranhão ;2107605;PALMEIRANDIA;165000
2006;Maranhão ;2107704;PARAIBANO;695000
2006;Maranhão ;2107803;PARNARAMA;636000
2006;Maranhão ;2107902;PASSAGEM FRANCA;443896
2006;Maranhão ;2108009;PASTOS BONS;1110000
2006;Maranhão ;2108058;PAULINO NEVES;3000
2006;Maranhão ;2108108;PAULO RAMOS;730000
2006;Maranhão ;2108207;PEDREIRAS;1967000
2006;Maranhão ;2108306;PENALVA;391000
2006;Maranhão ;2108405;PERI MIRIM;230000
2006;Maranhão ;2108454;PERITORO;1664000
2006;Maranhão ;2108504;PINDARE MIRIM;432000
2006;Maranhão ;2108603;PINHEIRO;3708715
2006;Maranhão ;2108702;PIO XII;557000
2006;Maranhão ;2108801;PIRAPEMAS;25000
2006;Maranhão ;2108900;POCAO DE PEDRAS;730000
2006;Maranhão ;2109007;PORTO FRANCO;1272000
2006;Maranhão ;2109106;PRESIDENTE DUTRA;3300867
