ANO;ESTADO;CÓDIGO IBGE;Municípios;Vendas
2015;Acre ;1200013;ACRELANDIA;2171000
2015;Acre ;1200054;ASSIS BRASIL;725000
2015;Acre ;1200104;BRASILEIA;3497000
2015;Acre ;1200138;BUJARI;697000
2015;Acre ;1200179;CAPIXABA;1730000
2015;Acre ;1200203;CRUZEIRO DO SUL;13986000
2015;Acre ;1200252;EPITACIOLANDIA;2855000
2015;Acre ;1200302;FEIJO;2379000
2015;Acre ;1200328;JORDAO;115000
2015;Acre ;1200336;MANCIO LIMA;1387000
2015;Acre ;1200344;MANOEL URBANO;1162500
2015;Acre ;1200351;MARECHAL THAUMATURGO;878000
2015;Acre ;1200385;PLACIDO DE CASTRO;1679000
2015;Acre ;1200807;PORTO ACRE;1789000
2015;Acre ;1200393;PORTO WALTER;892000
2015;Acre ;1200401;RIO BRANCO;88707840
2015;Acre ;1200427;RODRIGUES ALVES;735000
2015;Acre ;1200435;SANTA ROSA DO PURUS;305000
2015;Acre ;1200500;SENA MADUREIRA;4310000
2015;Acre ;1200450;SENADOR GUIOMARD;5506000
2015;Acre ;1200609;TARAUACA;2912000
2015;Acre ;1200708;XAPURI;1840500
2015;Alagoas ;2700102;AGUA BRANCA;1131000
2015;Alagoas ;2700201;ANADIA;910000
2015;Alagoas ;2700300;ARAPIRACA;46833326
2015;Alagoas ;2700409;ATALAIA;4200000
2015;Alagoas ;2700508;BARRA DE SANTO ANTONIO;1289000
2015;Alagoas ;2700607;BARRA DE SAO MIGUEL;3229500
2015;Alagoas ;2700706;BATALHA;3294000
2015;Alagoas ;2700805;BELEM;266000
2015;Alagoas ;2701001;BOCA DA MATA;1961000
2015;Alagoas ;2701100;BRANQUINHA;312500
2015;Alagoas ;2701209;CACIMBINHAS;1293000
2015;Alagoas ;2701308;CAJUEIRO;828000
2015;Alagoas ;2701357;CAMPESTRE;350000
2015;Alagoas ;2701407;CAMPO ALEGRE;2445500
2015;Alagoas ;2701506;CAMPO GRANDE;660000
2015;Alagoas ;2701605;CANAPI;902500
2015;Alagoas ;2701704;CAPELA;560500
2015;Alagoas ;2701803;CARNEIROS;335000
2015;Alagoas ;2701902;CHA PRETA;325500
2015;Alagoas ;2702009;COITE DO NOIA;1000000
2015;Alagoas ;2702108;COLONIA LEOPOLDINA;758000
2015;Alagoas ;2702306;CORURIPE;5023000
2015;Alagoas ;2702355;CRAIBAS;2270500
2015;Alagoas ;2702405;DELMIRO GOUVEIA;7325987
2015;Alagoas ;2702504;DOIS RIACHOS;702000
2015;Alagoas ;2702553;ESTRELA DE ALAGOAS;310500
2015;Alagoas ;2702603;FEIRA GRANDE;795000
2015;Alagoas ;2702702;FELIZ DESERTO;773500
2015;Alagoas ;2702900;GIRAU DO PONCIANO;2815500
2015;Alagoas ;2703007;IBATEGUARA;830000
2015;Alagoas ;2703106;IGACI;1984500
2015;Alagoas ;2703205;IGREJA NOVA;242500
2015;Alagoas ;2703304;INHAPI;1989000
2015;Alagoas ;2703403;JACARE DOS HOMENS;122500
2015;Alagoas ;2703502;JACUIPE;240000
2015;Alagoas ;2703601;JAPARATINGA;430000
2015;Alagoas ;2703700;JARAMATAIA;340000
2015;Alagoas ;2703759;JEQUIA DA PRAIA;615000
2015;Alagoas ;2703809;JOAQUIM GOMES;684500
2015;Alagoas ;2703908;JUNDIA;194000
2015;Alagoas ;2704005;JUNQUEIRO;2185500
2015;Alagoas ;2704104;LAGOA DA CANOA;1701000
2015;Alagoas ;2704203;LIMOEIRO DE ANADIA;1547000
2015;Alagoas ;2704302;MACEIO;184534900
2015;Alagoas ;2704401;MAJOR ISIDORO;1654000
2015;Alagoas ;2704906;MAR VERMELHO;118000
2015;Alagoas ;2704500;MARAGOGI;3839500
2015;Alagoas ;2704609;MARAVILHA;870000
2015;Alagoas ;2704708;MARECHAL DEODORO;10029500
2015;Alagoas ;2704807;MARIBONDO;3900500
2015;Alagoas ;2705002;MATA GRANDE;1378000
2015;Alagoas ;2705101;MATRIZ DE CAMARAGIBE;1835000
2015;Alagoas ;2705200;MESSIAS;2040000
2015;Alagoas ;2705309;MINADOR DO NEGRAO;190000
2015;Alagoas ;2705408;MONTEIROPOLIS;570000
2015;Alagoas ;2705507;MURICI;1907500
2015;Alagoas ;2705606;NOVO LINO;1432500
2015;Alagoas ;2705705;OLHO D AGUA DAS FLORES;3635000
2015;Alagoas ;2705804;OLHO D AGUA DO CASADO;782500
2015;Alagoas ;2705903;OLHO D AGUA GRANDE;208500
2015;Alagoas ;2706000;OLIVENCA;336500
2015;Alagoas ;2706109;OURO BRANCO;1013500
2015;Alagoas ;2706307;PALMEIRA DOS INDIOS;11857000
2015;Alagoas ;2706406;PAO DE ACUCAR;2100000
2015;Alagoas ;2706422;PARICONHA;268000
2015;Alagoas ;2706448;PARIPUEIRA;2121500
2015;Alagoas ;2706505;PASSO DE CAMARAGIBE;550000
2015;Alagoas ;2706604;PAULO JACINTO;675000
2015;Alagoas ;2706703;PENEDO;6655500
2015;Alagoas ;2706802;PIACABUCU;1025000
2015;Alagoas ;2706901;PILAR;3485000
2015;Alagoas ;2707107;PIRANHAS;3207500
2015;Alagoas ;2707206;POCO DAS TRINCHEIRAS;1205000
2015;Alagoas ;2707305;PORTO CALVO;2855000
2015;Alagoas ;2707404;PORTO DE PEDRAS;345000
2015;Alagoas ;2707503;PORTO REAL DO COLEGIO;2037500
2015;Alagoas ;2707602;QUEBRANGULO;373000
2015;Alagoas ;2707701;RIO LARGO;14342500
2015;Alagoas ;2708006;SANTANA DO IPANEMA;7307500
2015;Alagoas ;2708105;SANTANA DO MUNDAU;685000
2015;Alagoas ;2708303;SAO JOSE DA LAJE;1139000
2015;Alagoas ;2708402;SAO JOSE DA TAPERA;2630000
2015;Alagoas ;2708501;SAO LUIS DO QUITUNDE;1992500
2015;Alagoas ;2708600;SAO MIGUEL DOS CAMPOS;10150000
2015;Alagoas ;2708709;SAO MIGUEL DOS MILAGRES;749500
2015;Alagoas ;2708808;SAO SEBASTIAO;3628000
2015;Alagoas ;2708907;SATUBA;2143000
2015;Alagoas ;2708956;SENADOR RUI PALMEIRA;890000
2015;Alagoas ;2709004;TANQUE D ARCA;217500
2015;Alagoas ;2709103;TAQUARANA;2100000
2015;Alagoas ;2709152;TEOTONIO VILELA;2469000
2015;Alagoas ;2709202;TRAIPU;530000
2015;Alagoas ;2709301;UNIAO DOS PALMARES;7170480
2015;Alagoas ;2709400;VICOSA;2687500
2015;Amazonas;1300029;ALVARAES;894000
2015;Amazonas;1300060;AMATURA;408685
2015;Amazonas;1300086;ANAMA;5000
2015;Amazonas;1300102;ANORI;966172
2015;Amazonas;1300144;APUI;1937050
2015;Amazonas;1300201;ATALAIA DO NORTE;20000
2015;Amazonas;1300300;AUTAZES;4034000
2015;Amazonas;1300409;BARCELOS;1518417
2015;Amazonas;1300508;BARREIRINHA;1671750
2015;Amazonas;1300607;BENJAMIN CONSTANT;271574
2015;Amazonas;1300631;BERURI;1125000
2015;Amazonas;1300680;BOA VISTA DO RAMOS;335000
2015;Amazonas;1300706;BOCA DO ACRE;3795000
2015;Amazonas;1300805;BORBA;1909000
2015;Amazonas;1300904;CANUTAMA;739155
2015;Amazonas;1301001;CARAUARI;917961
2015;Amazonas;1301100;CAREIRO;2897200
2015;Amazonas;1301159;CAREIRO DA VARZEA;1068000
2015;Amazonas;1301209;COARI;6542710
2015;Amazonas;1301308;CODAJAS;1719334
2015;Amazonas;1301407;EIRUNEPE;1268805
2015;Amazonas;1301506;ENVIRA;275000
2015;Amazonas;1301605;FONTE BOA;2587595
2015;Amazonas;1301654;GUAJARA;865000
2015;Amazonas;1301704;HUMAITA;5737000
2015;Amazonas;1301803;IPIXUNA;810000
2015;Amazonas;1301852;IRANDUBA;10043250
2015;Amazonas;1301902;ITACOATIARA;13353900
2015;Amazonas;1301951;ITAMARATI;159300
2015;Amazonas;1302009;ITAPIRANGA;1570000
2015;Amazonas;1302108;JAPURA;17500
2015;Amazonas;1302207;JURUA;323122
2015;Amazonas;1302306;JUTAI;1398260
2015;Amazonas;1302405;LABREA;2615373
2015;Amazonas;1302504;MANACAPURU;15725000
2015;Amazonas;1302553;MANAQUIRI;1327568
2015;Amazonas;1302603;MANAUS;467211335
2015;Amazonas;1302702;MANICORE;3559000
2015;Amazonas;1302801;MARAA;48344
2015;Amazonas;1302900;MAUES;3700000
2015;Amazonas;1303007;NHAMUNDA;1335000
2015;Amazonas;1303106;NOVA OLINDA DO NORTE;3223000
2015;Amazonas;1303205;NOVO AIRAO;1910000
2015;Amazonas;1303304;NOVO ARIPUANA;824000
2015;Amazonas;1303403;PARINTINS;9103133
2015;Amazonas;1303502;PAUINI;937972
2015;Amazonas;1303536;PRESIDENTE FIGUEIREDO;6373000
2015;Amazonas;1303569;RIO PRETO DA EVA;3245000
2015;Amazonas;1303601;SANTA ISABEL DO RIO NEGRO;882601
2015;Amazonas;1303700;SANTO ANTONIO DO ICA;1607207
2015;Amazonas;1303809;SAO GABRIEL DA CACHOEIRA;5445900
2015;Amazonas;1303908;SAO PAULO DE OLIVENCA;677264
2015;Amazonas;1303957;SAO SEBASTIAO DO UATUMA;612000
2015;Amazonas;1304005;SILVES;1148000
2015;Amazonas;1304062;TABATINGA;895340
2015;Amazonas;1304104;TAPAUA;837972
2015;Amazonas;1304203;TEFE;7669980
2015;Amazonas;1304237;TONANTINS;816894
2015;Amazonas;1304260;UARINI;1199807
2015;Amazonas;1304302;URUCARA;1660000
2015;Amazonas;1304401;URUCURITUBA;1429000
2015;Amapá ;1600105;AMAPA;725000
2015;Amapá ;1600204;CALCOENE;1170000
2015;Amapá ;1600212;CUTIAS;475000
2015;Amapá ;1600238;FERREIRA GOMES;1280000
2015;Amapá ;1600253;ITAUBAL;145000
2015;Amapá ;1600279;LARANJAL DO JARI;4410000
2015;Amapá ;1600303;MACAPA;114746721
2015;Amapá ;1600402;MAZAGAO;755000
2015;Amapá ;1600501;OIAPOQUE;4439500
2015;Amapá ;1600154;PEDRA BRANCA DO AMAPARI;1400000
2015;Amapá ;1600535;PORTO GRANDE;2500000
2015;Amapá ;1600600;SANTANA;19472000
2015;Amapá ;1600055;SERRA DO NAVIO;70000
2015;Amapá ;1600709;TARTARUGALZINHO;1455000
2015;Amapá ;1600808;VITORIA DO JARI;710000
2015;Bahia;2900108;ABAIRA;683000
2015;Bahia;2900207;ABARE;2110000
2015;Bahia;2900306;ACAJUTIBA;1181000
2015;Bahia;2900355;ADUSTINA;1914000
2015;Bahia;2900405;AGUA FRIA;774000
2015;Bahia;2900603;AIQUARA;147000
2015;Bahia;2900702;ALAGOINHAS;24123000
2015;Bahia;2900801;ALCOBACA;2460500
2015;Bahia;2900900;ALMADINA;216000
2015;Bahia;2901007;AMARGOSA;4542000
2015;Bahia;2901106;AMELIA RODRIGUES;5030000
2015;Bahia;2901155;AMERICA DOURADA;1045500
2015;Bahia;2901205;ANAGE;3001000
2015;Bahia;2901304;ANDARAI;943000
2015;Bahia;2901353;ANDORINHA;1547000
2015;Bahia;2901403;ANGICAL;1021000
2015;Bahia;2901502;ANGUERA;1777000
2015;Bahia;2901601;ANTAS;1125000
2015;Bahia;2901700;ANTONIO CARDOSO;1646000
2015;Bahia;2901809;ANTONIO GONCALVES;847000
2015;Bahia;2901908;APORA;1271000
2015;Bahia;2901957;APUAREMA;540000
2015;Bahia;2902054;ARACAS;1317000
2015;Bahia;2902005;ARACATU;2533500
2015;Bahia;2902104;ARACI;4692000
2015;Bahia;2902203;ARAMARI;236000
2015;Bahia;2902252;ARATACA;305000
2015;Bahia;2902302;ARATUIPE;1160000
2015;Bahia;2902401;AURELINO LEAL;1035000
2015;Bahia;2902500;BAIANOPOLIS;1277000
2015;Bahia;2902609;BAIXA GRANDE;2731000
2015;Bahia;2902658;BANZAE;846000
2015;Bahia;2902708;BARRA;1966000
2015;Bahia;2902807;BARRA DA ESTIVA;4774000
2015;Bahia;2902906;BARRA DO CHOCA;2893000
2015;Bahia;2903003;BARRA DO MENDES;907500
2015;Bahia;2903102;BARRA DO ROCHA;345000
2015;Bahia;2903201;BARREIRAS;32233100
2015;Bahia;2903235;BARRO ALTO;1129000
2015;Bahia;2903300;BARRO PRETO;198000
2015;Bahia;2903276;BARROCAS;1101000
2015;Bahia;2903409;BELMONTE;1499000
2015;Bahia;2903508;BELO CAMPO;1538000
2015;Bahia;2903607;BIRITINGA;1396000
2015;Bahia;2903706;BOA NOVA;642500
2015;Bahia;2903805;BOA VISTA DO TUPIM;1384000
2015;Bahia;2903904;BOM JESUS DA LAPA;10123000
2015;Bahia;2903953;BOM JESUS DA SERRA;674500
2015;Bahia;2904001;BONINAL;1856000
2015;Bahia;2904050;BONITO;1092500
2015;Bahia;2904100;BOQUIRA;1446000
2015;Bahia;2904209;BOTUPORA;939000
2015;Bahia;2904308;BREJOES;1946000
2015;Bahia;2904407;BREJOLANDIA;480000
2015;Bahia;2904506;BROTAS DE MACAUBAS;836000
2015;Bahia;2904605;BRUMADO;11845500
2015;Bahia;2904704;BUERAREMA;4190000
2015;Bahia;2904753;BURITIRAMA;824000
2015;Bahia;2904803;CAATIBA;270000
2015;Bahia;2904852;CABACEIRAS DO PARAGUACU;952000
2015;Bahia;2904902;CACHOEIRA;2168000
2015;Bahia;2905008;CACULE;2980500
2015;Bahia;2905107;CAEM;457000
2015;Bahia;2905156;CAETANOS;855000
2015;Bahia;2905206;CAETITE;9366000
2015;Bahia;2905305;CAFARNAUM;2010500
2015;Bahia;2905404;CAIRU;1080000
2015;Bahia;2905503;CALDEIRAO GRANDE;1103000
2015;Bahia;2905602;CAMACAN;3369200
2015;Bahia;2905701;CAMACARI;63749850
2015;Bahia;2905800;CAMAMU;6264000
2015;Bahia;2905909;CAMPO ALEGRE DE LOURDES;2586000
2015;Bahia;2906006;CAMPO FORMOSO;7316000
2015;Bahia;2906105;CANAPOLIS;319000
2015;Bahia;2906204;CANARANA;2594000
2015;Bahia;2906303;CANAVIEIRAS;2939300
2015;Bahia;2906402;CANDEAL;362000
2015;Bahia;2906501;CANDEIAS;15272600
2015;Bahia;2906600;CANDIBA;1473000
2015;Bahia;2906709;CANDIDO SALES;3285000
2015;Bahia;2906808;CANSANCAO;3684000
2015;Bahia;2906824;CANUDOS;2978000
2015;Bahia;2906857;CAPELA DO ALTO ALEGRE;1039000
2015;Bahia;2906873;CAPIM GROSSO;8195000
2015;Bahia;2906899;CARAIBAS;813500
2015;Bahia;2906907;CARAVELAS;2283000
2015;Bahia;2907004;CARDEAL DA SILVA;1245000
2015;Bahia;2907103;CARINHANHA;2792000
2015;Bahia;2907202;CASA NOVA;6916000
2015;Bahia;2907301;CASTRO ALVES;2196000
2015;Bahia;2907400;CATOLANDIA;1681000
2015;Bahia;2907509;CATU;7323000
2015;Bahia;2907558;CATURAMA;590000
2015;Bahia;2907608;CENTRAL;7857500
2015;Bahia;2907707;CHORROCHO;1494000
2015;Bahia;2907806;CICERO DANTAS;4603000
2015;Bahia;2907905;CIPO;3021000
2015;Bahia;2908002;COARACI;1690000
2015;Bahia;2908101;COCOS;1720000
2015;Bahia;2908200;CONCEICAO DA FEIRA;2326000
2015;Bahia;2908309;CONCEICAO DO ALMEIDA;2587000
2015;Bahia;2908408;CONCEICAO DO COITE;9308000
2015;Bahia;2908507;CONCEICAO DO JACUIPE;9659500
2015;Bahia;2908606;CONDE;2071000
2015;Bahia;2908705;CONDEUBA;1684000
2015;Bahia;2908903;CORACAO DE MARIA;1947000
2015;Bahia;2909000;CORDEIROS;788500
2015;Bahia;2909109;CORIBE;992000
2015;Bahia;2909208;CORONEL JOAO SA;1551500
2015;Bahia;2909307;CORRENTINA;10551500
2015;Bahia;2909406;COTEGIPE;1132000
2015;Bahia;2909505;CRAVOLANDIA;317500
2015;Bahia;2909604;CRISOPOLIS;1370000
2015;Bahia;2909703;CRISTOPOLIS;2379000
2015;Bahia;2909802;CRUZ DAS ALMAS;10390000
2015;Bahia;2909901;CURACA;3342000
2015;Bahia;2910008;DARIO MEIRA;946000
2015;Bahia;2910057;DIAS D AVILA;9233500
2015;Bahia;2910107;DOM BASILIO;1633000
2015;Bahia;2910206;DOM MACEDO COSTA;259000
2015;Bahia;2910305;ELISIO MEDRADO;792000
