ANO;ESTADO;CODIGO IBGE;Municipios;Vendas
2018;Acre ;1200013;ACRELANDIA;1884870
2018;Acre ;1200054;ASSIS BRASIL;269760
2018;Acre ;1200104;BRASILEIA;2069112
2018;Acre ;1200138;BUJARI;620949
2018;Acre ;1200179;CAPIXABA;2341098
2018;Acre ;1200203;CRUZEIRO DO SUL;13716512
2018;Acre ;1200252;EPITACIOLANDIA;2542346
2018;Acre ;1200302;FEIJO;2211000
2018;Acre ;1200328;JORDAO;75000
2018;Acre ;1200336;MANCIO LIMA;1499000
2018;Acre ;1200344;MANOEL URBANO;1240000
2018;Acre ;1200351;MARECHAL THAUMATURGO;1100000
2018;Acre ;1200385;PLACIDO DE CASTRO;1441335
2018;Acre ;1200807;PORTO ACRE;2029550
2018;Acre ;1200393;PORTO WALTER;895000
2018;Acre ;1200401;RIO BRANCO;84783134
2018;Acre ;1200427;RODRIGUES ALVES;1332000
2018;Acre ;1200435;SANTA ROSA DO PURUS;415000
2018;Acre ;1200500;SENA MADUREIRA;4117624
2018;Acre ;1200450;SENADOR GUIOMARD;4362226
2018;Acre ;1200609;TARAUACA;3412000
2018;Acre ;1200708;XAPURI;1514808
2018;Alagoas ;2700102;AGUA BRANCA;897500
2018;Alagoas ;2700201;ANADIA;929883
2018;Alagoas ;2700300;ARAPIRACA;47654369
2018;Alagoas ;2700409;ATALAIA;4023227
2018;Alagoas ;2700508;BARRA DE SANTO ANTONIO;930500
2018;Alagoas ;2700607;BARRA DE SAO MIGUEL;2200470
2018;Alagoas ;2700706;BATALHA;3095500
2018;Alagoas ;2700805;BELEM;84000
2018;Alagoas ;2701001;BOCA DA MATA;1629000
2018;Alagoas ;2701100;BRANQUINHA;47500
2018;Alagoas ;2701209;CACIMBINHAS;1244500
2018;Alagoas ;2701308;CAJUEIRO;702455
2018;Alagoas ;2701357;CAMPESTRE;230000
2018;Alagoas ;2701407;CAMPO ALEGRE;3515592
2018;Alagoas ;2701506;CAMPO GRANDE;733000
2018;Alagoas ;2701605;CANAPI;1086000
2018;Alagoas ;2701704;CAPELA;575000
2018;Alagoas ;2701803;CARNEIROS;313500
2018;Alagoas ;2701902;CHA PRETA;268000
2018;Alagoas ;2702009;COITE DO NOIA;1092994
2018;Alagoas ;2702108;COLONIA LEOPOLDINA;998500
2018;Alagoas ;2702306;CORURIPE;5095009
2018;Alagoas ;2702355;CRAIBAS;2569973
2018;Alagoas ;2702405;DELMIRO GOUVEIA;8507113
2018;Alagoas ;2702504;DOIS RIACHOS;679500
2018;Alagoas ;2702553;ESTRELA DE ALAGOAS;1165790
2018;Alagoas ;2702603;FEIRA GRANDE;1253500
2018;Alagoas ;2702702;FELIZ DESERTO;671219
2018;Alagoas ;2702900;GIRAU DO PONCIANO;3234500
2018;Alagoas ;2703007;IBATEGUARA;866000
2018;Alagoas ;2703106;IGACI;2212000
2018;Alagoas ;2703205;IGREJA NOVA;1143000
2018;Alagoas ;2703304;INHAPI;1931365
2018;Alagoas ;2703403;JACARE DOS HOMENS;270000
2018;Alagoas ;2703502;JACUIPE;242500
2018;Alagoas ;2703601;JAPARATINGA;380000
2018;Alagoas ;2703700;JARAMATAIA;140000
2018;Alagoas ;2703759;JEQUIA DA PRAIA;630000
2018;Alagoas ;2703809;JOAQUIM GOMES;785000
2018;Alagoas ;2703908;JUNDIA;167000
2018;Alagoas ;2704005;JUNQUEIRO;2262595
2018;Alagoas ;2704104;LAGOA DA CANOA;1440000
2018;Alagoas ;2704203;LIMOEIRO DE ANADIA;2244891
2018;Alagoas ;2704302;MACEIO;171358633
2018;Alagoas ;2704401;MAJOR ISIDORO;1614000
2018;Alagoas ;2704906;MAR VERMELHO;120000
2018;Alagoas ;2704500;MARAGOGI;4006223
2018;Alagoas ;2704609;MARAVILHA;862940
2018;Alagoas ;2704708;MARECHAL DEODORO;11102285
2018;Alagoas ;2704807;MARIBONDO;3238500
